episode_id,term_type,time_sec,steps,collisions,sum_reward
0,success,2.975000000000005,1,0,-5.80536088397846
2,success,13.149000000000001,3,1,5.3747812722600035
3,success,16.744000000000007,4,1,6.82430084720446
4,success,14.295000000000002,4,2,2.41561530773472
5,success,28.596000000000004,7,2,1.8956520416224532
6,success,10.781999999999982,3,0,4.97955236670653
7,success,12.305999999999983,3,2,0.26551034247753336
8,success,15.533000000000015,4,2,2.676817095629236
9,success,16.284999999999997,4,1,3.27062636601938
10,collision,20.078000000000003,5,6,-9.921834320258775
11,success,11.193999999999988,3,1,3.3033992478517282
12,collision,15.26400000000001,4,3,-1.1956735987213651
13,success,11.433999999999997,3,0,6.92259907799423
14,collision,21.99199999999999,5,10,-22.807883089412744
15,collision,17.317000000000007,4,3,-0.40976048941692866
16,success,12.569999999999993,3,0,8.646426222989941
17,collision,13.415999999999997,3,4,-3.529886777523809
18,success,13.932000000000016,3,0,9.939001876687293
19,collision,15.25200000000001,4,3,1.5170377555651715
20,collision,12.34499999999997,3,4,-4.31684555196918
21,collision,22.11899999999997,5,10,-22.13060593480841
22,success,21.528999999999996,5,2,2.6723084783330036
23,success,12.413999999999987,3,0,4.055704790117213
24,success,27.067000000000007,6,2,2.1098430341965164
25,success,13.621000000000038,3,1,6.976742710861416
26,collision,14.821000000000026,4,3,1.0250111380405773
27,collision,15.961000000000013,4,6,-13.450292735471473
28,success,17.746000000000038,4,2,1.323715132789883
29,success,17.942999999999984,4,2,3.7543472283298343
30,collision,17.612999999999943,4,4,-2.2047706001092218
31,success,15.408999999999992,4,1,6.453957287432665
32,success,10.48599999999999,3,2,-0.6277560271188882
33,success,12.73599999999999,3,1,3.0119798495924286
34,collision,25.47199999999998,6,3,-0.1848854647456868
35,success,11.386000000000081,3,1,3.916363644186937
36,success,11.482999999999947,3,1,4.474757637603136
37,success,11.271999999999935,3,0,6.755827990559867
38,collision,14.912000000000035,4,3,-2.2965279254345354
39,collision,22.490999999999985,5,5,-6.205803096712008
40,success,13.600000000000023,3,1,6.458440441955312
41,success,15.703000000000088,4,2,4.197632652926394
42,success,13.79099999999994,4,1,2.780938277178022
43,success,11.355999999999995,3,1,2.434824057404489
44,collision,19.582000000000107,5,3,-0.9759588843059266
45,success,16.128000000000043,4,2,-1.0175264942974183
46,success,11.590000000000032,3,0,3.3806408130096646
47,collision,17.31000000000006,4,9,-19.61351402735831
48,collision,15.548999999999978,4,3,0.798595874881812
49,collision,14.450000000000045,4,3,-0.686105229521127
50,success,16.451999999999998,4,0,6.231173219340224
51,success,13.31899999999996,3,0,9.038698229782097
52,collision,15.390999999999963,4,3,1.2310197788881592
53,collision,16.076999999999998,4,4,-5.154644261907117
54,collision,13.282000000000039,3,3,-0.8006452689297925
55,success,14.196000000000026,4,0,9.75554973344142
56,success,10.254000000000019,3,0,4.827733160935621
57,collision,14.128000000000043,4,4,-5.866166840706506
58,success,12.364000000000033,3,0,3.9845503406418663
59,success,23.496000000000095,5,2,2.4509812840948095
60,collision,16.79600000000005,4,3,0.8446821015615633
61,success,12.251999999999953,3,2,1.2753323140705781
62,success,13.125,3,2,1.995438847863566
63,success,13.986999999999853,4,0,9.5005005013628
64,collision,22.701000000000022,5,5,-6.55913482105851
65,success,18.468000000000075,5,1,7.126168788565062
66,success,10.618999999999915,3,1,2.208911023306811
67,success,14.04300000000012,3,1,2.581304370024175
68,collision,35.85200000000009,8,4,-1.7558762525264875
69,success,13.714999999999918,3,0,9.346802079589658
70,collision,17.996999999999844,4,4,-7.854065521533821
71,collision,16.01299999999992,4,3,1.4972227557709985
72,collision,14.189000000000078,4,4,-5.096442332763902
73,collision,16.894999999999982,4,4,-4.08565871521785
74,collision,15.455999999999904,4,3,-0.22118896942328448
75,success,12.250999999999976,3,1,3.924992404389414
76,success,13.6099999999999,3,0,9.22507306121696
77,success,15.358999999999924,4,2,4.714082327729701
78,success,22.76800000000003,5,2,2.383310156556907
79,collision,13.936999999999898,3,4,-2.541947666535761
80,success,15.913000000000011,4,2,4.177024240705336
81,success,11.398999999999887,3,0,7.508269606989569
82,success,12.028999999999996,3,1,4.755475310013175
83,success,22.19399999999996,5,2,2.4767894141865554
84,collision,25.935999999999922,6,4,-3.4211178277198626
85,success,12.601999999999862,3,0,7.501656136758378
86,collision,17.945999999999913,4,6,-9.220412063047107
87,success,29.71199999999999,7,2,2.5105621244087395
88,success,17.596000000000004,4,2,0.06650233407889239
89,success,13.588999999999942,3,0,9.397256248217467
90,success,14.896999999999935,4,2,4.154299304303631
91,success,12.715000000000146,3,1,2.038560289689748
92,collision,15.562999999999874,4,3,0.3022726123072088
93,success,17.10200000000009,4,1,3.3671122286047437
94,success,16.131000000000085,4,2,3.804121166583138
95,success,13.315000000000055,3,1,4.498465172002167
96,collision,18.02299999999991,4,3,0.5355479644253842
97,collision,17.115999999999985,4,4,-2.1528271115762885
98,success,14.073000000000093,4,2,3.0992023176451777
99,success,9.84699999999998,3,0,4.999722758303507
100,collision,20.286000000000058,5,7,-15.361185504627159
101,timeout,32.419000000000096,7,0,-12.269007708673444
