episode_id,term_type,time_sec,steps,collisions,sum_reward
0,success,2.080000000000002,1,1,-13.1456
1,collision,11.532000000000004,3,3,-19.80724
2,collision,14.061,4,3,-19.984270000000002
3,collision,19.301000000000002,5,3,-20.35107
4,collision,40.20599999999999,10,11,-42.03758185742881
5,collision,12.704000000000008,4,4,-22.88928
6,success,18.002999999999986,5,1,-14.155129447232897
7,success,9.87100000000001,3,2,-16.69097
8,success,11.65900000000002,3,2,-16.81613
9,collision,31.41500000000002,8,8,-34.29698588258203
10,success,12.533999999999992,3,1,-13.87738
11,collision,46.224999999999994,12,17,-62.086408353435104
12,success,9.515999999999963,3,1,-13.666119999999998
13,success,11.800000000000011,3,1,-13.826000000000002
14,collision,20.35699999999997,5,9,-38.424989999999994
15,success,18.31600000000003,5,1,-14.282120000000003
16,success,9.968999999999994,3,2,-16.69783
17,success,12.699999999999989,4,2,-16.889
18,success,20.105999999999995,5,2,-16.889605673918933
19,timeout,33.964999999999975,8,2,-18.36766692507946
20,success,13.623999999999967,4,1,-13.953679999999999
21,collision,19.958000000000027,5,6,-29.397060000000003
22,collision,31.533999999999992,8,8,-36.09523039544973
23,success,14.447999999999979,4,1,-14.01136
24,success,11.01400000000001,3,2,-16.77098
25,collision,18.94799999999998,5,4,-23.32636
26,timeout,33.46199999999999,8,1,-15.309893779350269
27,success,15.41700000000003,4,2,-17.079190000000004
28,collision,15.956000000000017,4,3,-20.11692
29,collision,13.644000000000005,4,4,-22.955080000000002
30,collision,18.261999999999944,5,3,-20.278339999999996
31,collision,12.114000000000033,3,3,-19.847980000000003
32,success,14.028999999999996,4,0,-10.98203
33,success,10.477999999999952,3,2,-16.733459999999997
34,collision,26.586000000000013,7,10,-40.90532420158294
35,success,13.760999999999967,4,2,-16.963269999999998
36,success,15.580000000000041,4,2,-17.090600000000002
37,collision,12.134000000000015,3,4,-22.849380000000004
38,collision,29.18399999999997,7,3,-19.714108621061698
39,collision,21.836000000000013,6,9,-37.35840522454235
40,collision,22.69500000000005,6,3,-20.19526656887833
41,collision,10.538000000000011,3,4,-22.73766
42,collision,11.057999999999993,3,3,-19.77406
43,success,12.230000000000018,3,2,-16.8561
44,collision,40.577999999999975,10,7,-33.12394959749397
45,collision,30.402000000000044,8,11,-42.36007397392145
46,collision,18.541999999999916,5,4,-22.24860450299046
47,collision,12.491999999999962,3,4,-22.87444
48,collision,17.44300000000021,5,3,-20.221010000000014
49,success,8.986999999999853,3,2,-16.62908999999999
50,success,10.265999999999849,3,2,-16.718619999999987
51,collision,17.572000000000116,5,6,-29.23004000000001
52,collision,9.715999999999894,3,3,-19.68011999999999
53,collision,20.947000000000116,5,3,-19.63114105301087
54,collision,15.39799999999991,4,3,-20.077859999999994
55,success,12.266999999999825,3,2,-16.85868999999999
56,collision,20.217999999999847,5,15,-56.41525999999999
57,success,35.4849999999999,9,2,-18.171842820680588
58,collision,20.29000000000019,5,6,-29.420300000000015
59,collision,18.714999999999918,5,5,-26.310049999999997
60,success,10.518000000000029,3,1,-13.736260000000001
61,collision,16.25299999999993,4,4,-23.137709999999995
62,collision,30.819999999999936,8,7,-33.14320372556176
63,success,11.548999999999978,3,1,-13.808429999999998
64,success,20.397000000000162,5,1,-14.42779000000001
65,collision,24.41899999999987,6,5,-26.61705496152791
66,success,14.192999999999984,4,2,-16.99351
67,timeout,92.28199999999993,22,5,-30.927474697962623
68,success,10.463999999999942,3,2,-16.732479999999995
69,collision,17.958000000000084,5,3,-20.257060000000003
70,success,10.68600000000015,3,2,-16.74802000000001
71,collision,23.477999999999838,6,4,-23.64345999999999
72,collision,22.388999999999896,6,7,-32.56722999999999
73,collision,19.47699999999986,5,3,-20.363389999999992
74,collision,13.769999999999982,4,4,-22.9639
75,collision,13.732000000000198,4,5,-25.961240000000018
76,collision,8.853000000000065,3,3,-19.619710000000005
77,success,24.24799999999982,6,2,-17.69735999999999
78,success,20.562999999999874,5,1,-14.439409999999992
79,collision,20.758000000000038,5,5,-26.453060000000004
80,collision,15.815999999999804,4,3,-20.107119999999988
81,success,18.98999999999978,5,0,-11.329299999999986
82,collision,14.006000000000085,4,3,-16.980420000000006
83,success,11.731999999999971,3,2,-16.82124
84,collision,40.77599999999984,10,17,-63.23594377441242
85,collision,14.739999999999782,4,3,-20.031799999999983
86,collision,35.924999999999955,9,9,-37.959921421771384
87,success,15.523999999999887,4,2,-17.086679999999994
88,collision,12.899000000000115,4,3,-19.90293000000001
89,collision,18.230999999999995,5,5,-26.27617
90,success,9.833000000000084,3,2,-16.688310000000005
91,collision,21.626999999999953,6,6,-29.513889999999996
92,collision,25.980999999999995,7,5,-26.21188498687508
93,success,15.791999999999916,4,2,-17.105439999999994
94,success,14.034000000000106,4,2,-16.982380000000006
95,success,11.20699999999988,3,2,-16.78448999999999
96,success,12.386999999999716,3,1,-13.86708999999998
97,collision,23.49499999999989,6,11,-41.20393997494764
98,success,14.38799999999992,4,2,-17.007159999999992
99,collision,16.210000000000036,4,3,-20.134700000000002
100,collision,16.172000000000025,4,3,-20.132040000000003
101,timeout,30.884000000000015,7,1,-15.161870733491671
