episode_id,tau,rho,eri_rule,eri_nn,eri_act,api_type,alpha,beta,band,acted_by,dt,progress,collision,reward,done
0,0.6854199171066284,0.018706467661691543,0.5511130316121213,9.999989867210388,0.5511130316121213,,,,2,teacher,0.0,0.0,0,0.0,False
0,0.6854199171066284,0.018706467661691543,0.5511130316121213,9.999989867210388,0.5511130316121213,,,,2,teacher,5.104999999999999,6.6699038708241964,4,-5.687446129175804,False
0,0.36122599244117737,0.015522388059701492,0.3368307740982641,9.999989867210388,0.3368307740982641,,,,0,teacher,4.16,3.2026407685387186,1,-10.088559231461282,True
1,0.11270897090435028,0.023283582089552238,0.23348001320034514,9.999989867210388,0.23348001320034514,,,,3,teacher,0.0,0.0,0,0.0,False
1,0.11270897090435028,0.023283582089552238,0.23348001320034514,9.999989867210388,0.23348001320034514,,,,3,teacher,5.0760000000000005,0.0004903076461033606,0,-0.3548296923538967,False
1,0.8787525296211243,0.021293532338308458,0.6821399946821841,9.999989867210388,0.6821399946821841,,,,4,teacher,4.866999999999997,0.00048485891825222893,0,-0.3402051410817476,False
1,0.878726601600647,0.02208955223880597,0.6865712207449935,9.999989867210388,0.6865712207449935,,,,7,teacher,5.494,0.3100069786949611,0,-0.07457302130503896,False
1,0.8663377165794373,0.021691542288557214,0.6769246749406806,9.999989867210388,0.6769246749406806,,,,5,teacher,5.041000000000004,0.4019813872759421,0,0.04911138727594183,False
1,0.8510774970054626,0.022885572139303482,0.6743478678791646,9.999989867210388,0.6743478678791646,,,,0,teacher,4.857999999999997,0.0,0,-0.3400599999999998,False
1,0.8502529263496399,0.022885572139303482,0.6738531254856709,9.999989867210388,0.6738531254856709,,,,3,teacher,5.099000000000004,0.0,0,-0.3569300000000003,False
1,0.8502777814865112,0.02308457711442786,0.674947132984893,9.999989867210388,0.674947132984893,,,,2,teacher,4.918999999999997,0.0,0,-0.3443299999999998,False
1,0.8503339886665344,0.02308457711442786,0.6749808572929068,9.999989867210388,0.6749808572929068,,,,1,teacher,4.963000000000001,0.0,0,-0.3474100000000001,False
1,0.8503589034080505,0.02308457711442786,0.6749958061378165,9.999989867210388,0.6749958061378165,,,,0,teacher,4.838999999999999,0.0,0,-0.3387299999999999,False
1,0.8503837585449219,0.02308457711442786,0.6750107192199393,9.999989867210388,0.6750107192199393,,,,8,teacher,4.888000000000005,0.0,0,-0.3421600000000004,False
1,0.8504086136817932,0.02308457711442786,0.6750256323020621,9.999989867210388,0.6750256323020621,,,,2,teacher,4.99499999999999,0.3435535684981801,0,-0.006096431501819266,False
1,0.8366919159889221,0.022686567164179106,0.6646324743927488,9.999989867210388,9.999989867210388,,,,8,student,4.89800000000001,0.34416497037404525,0,0.0013049703740444785,False
1,0.8229283094406128,0.01990049751243781,0.6406649742066726,9.999989867210388,0.6406649742066726,,,,0,teacher,4.644999999999996,0.0001324042334651665,1,-3.3250175957665347,False
1,0.8229283094406128,0.019502487562189055,0.6383374750354825,9.999989867210388,0.6383374750354825,,,,3,teacher,5.102999999999994,0.00015899053038381794,0,-0.3570510094696158,False
1,0.8229283094406128,0.020298507462686566,0.6429712641429938,9.999989867210388,0.6429712641429938,,,,8,teacher,5.204000000000008,0.00017544623094778444,0,-0.3641045537690528,False
1,0.8229043483734131,0.01990049751243781,0.6406505975663528,9.999989867210388,9.999989867210388,,,,7,student,4.801000000000002,0.00017391001138378215,0,-0.33589608998861636,False
1,0.8229043483734131,0.019502487562189055,0.6383230983951627,9.999989867210388,9.999989867210388,,,,8,student,4.8289999999999935,0.00018517757463243356,0,-0.3378448224253671,False
1,0.8229043483734131,0.018308457711442787,0.6312113860317011,9.999989867210388,0.6312113860317011,,,,3,teacher,5.0390000000000015,0.00020377215074773858,0,-0.3525262278492524,False
1,0.8228803277015686,0.018109452736318407,0.6299925839678986,9.999989867210388,9.999989867210388,,,,6,student,4.930999999999997,0.18355871554385317,0,-0.1616112844561467,False
1,0.8155353665351868,0.017313432835820895,0.6207125419206849,9.999989867210388,0.6207125419206849,,,,1,teacher,5.018000000000001,0.0,0,-0.35126000000000007,False
1,0.81552654504776,0.017313432835820895,0.6207072490282288,9.999989867210388,0.6207072490282288,,,,2,teacher,4.910000000000011,0.2218617784362351,0,-0.12183822156376567,False
1,0.8067013025283813,0.01711442786069652,0.6141798328903942,9.999989867210388,0.6141798328903942,,,,0,teacher,5.018000000000001,0.0,0,-0.35126000000000007,False
1,0.8067013025283813,0.01691542288557214,0.6129419090927879,9.999989867210388,0.6129419090927879,,,,0,teacher,5.072000000000003,0.0,0,-0.35504000000000024,False
1,0.8067243695259094,0.018109452736318407,0.620299009062503,9.999989867210388,0.620299009062503,,,,1,teacher,5.056999999999988,0.0,0,-0.3539899999999992,False
