epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,199.248,1.42009,2.72458,0.89606,0.45392,0.52704,0.49785,0.30879,1.42845,2.22206,0.9085,0.0009109,0.0009109,0.0009109
29,204.269,1.40835,2.69854,0.90078,0.58032,0.51984,0.5046,0.29785,1.54674,2.33219,0.91619,0.0009076,0.0009076,0.0009076
30,210.292,1.39607,2.38817,0.89096,0.78518,0.46532,0.6142,0.39327,1.36451,1.92557,0.90196,0.0009043,0.0009043,0.0009043
31,215.41,1.34736,2.13914,0.88717,0.5878,0.45863,0.56619,0.34608,1.39389,1.98251,0.89978,0.000901,0.000901,0.000901
32,220.504,1.36328,2.05882,0.89457,0.67109,0.5273,0.61947,0.40247,1.31386,1.83352,0.89801,0.0008977,0.0008977,0.0008977
33,225.442,1.37196,1.97816,0.85638,0.61234,0.57469,0.64934,0.41736,1.32231,1.80786,0.88661,0.0008944,0.0008944,0.0008944
34,230.685,1.3353,2.00376,0.86318,0.724,0.51281,0.62793,0.42456,1.46802,1.80224,0.89688,0.0008911,0.0008911,0.0008911
35,235.76,1.32922,1.78754,0.87215,0.48118,0.659,0.56089,0.36252,1.34241,1.68105,0.91239,0.0008878,0.0008878,0.0008878
36,240.766,1.30304,1.73786,0.86861,0.54957,0.5462,0.51088,0.32787,1.40283,1.73058,0.91842,0.0008845,0.0008845,0.0008845
37,245.73,1.29187,1.72175,0.88293,0.79128,0.5574,0.66915,0.41994,1.25478,1.53373,0.90017,0.0008812,0.0008812,0.0008812
38,251.275,1.29873,1.66247,0.87259,0.73583,0.51596,0.71634,0.42718,1.26732,1.48503,0.88237,0.0008779,0.0008779,0.0008779
39,256.47,1.3271,1.64059,0.88438,0.70324,0.52328,0.59558,0.36503,1.28624,1.47344,0.88057,0.0008746,0.0008746,0.0008746
40,261.762,1.32915,1.60044,0.87208,0.64751,0.53043,0.51885,0.35064,1.31375,1.51203,0.87641,0.0008713,0.0008713,0.0008713
41,266.648,1.28127,1.51057,0.86817,0.77099,0.57403,0.66344,0.43409,1.22319,1.3963,0.87175,0.000868,0.000868,0.000868
42,271.294,1.32145,1.45073,0.86602,0.61637,0.48641,0.44322,0.26017,1.5438,1.98952,0.89324,0.0008647,0.0008647,0.0008647
43,275.998,1.31114,1.45639,0.85797,0.80566,0.52726,0.65954,0.42492,1.27882,1.2897,0.90906,0.0008614,0.0008614,0.0008614
44,280.649,1.29631,1.43192,0.86902,0.41447,0.72509,0.52791,0.34915,1.36272,1.40124,0.88826,0.0008581,0.0008581,0.0008581
45,285.809,1.27159,1.35959,0.85447,0.65522,0.49024,0.63027,0.39622,1.31132,1.43728,0.89272,0.0008548,0.0008548,0.0008548
46,290.828,1.26882,1.36994,0.85848,0.7233,0.56333,0.63515,0.42229,1.26966,1.39499,0.88936,0.0008515,0.0008515,0.0008515
47,296.028,1.23848,1.35259,0.8582,0.36866,0.71519,0.55352,0.37939,1.22468,1.28296,0.87709,0.0008482,0.0008482,0.0008482
48,301.214,1.24447,1.34528,0.86245,0.71076,0.60956,0.70933,0.45345,1.27726,1.17434,0.87122,0.0008449,0.0008449,0.0008449
49,306.131,1.21685,1.27024,0.85243,0.84963,0.48641,0.6723,0.43828,1.25398,1.16681,0.87449,0.0008416,0.0008416,0.0008416
50,311.038,1.22874,1.27757,0.84477,0.86621,0.43952,0.67162,0.42074,1.21806,1.22904,0.87982,0.0008383,0.0008383,0.0008383
51,316.045,1.21533,1.19815,0.85193,0.69403,0.59991,0.59786,0.35679,1.29325,1.24817,0.86692,0.000835,0.000835,0.000835
52,321.271,1.25242,1.24686,0.85046,0.80634,0.51479,0.66917,0.42381,1.20674,1.19438,0.86801,0.0008317,0.0008317,0.0008317
53,326.268,1.27904,1.28699,0.86277,0.77843,0.50556,0.66437,0.40173,1.24609,1.23257,0.88093,0.0008284,0.0008284,0.0008284
54,331.382,1.23844,1.21613,0.84314,0.76593,0.61594,0.69696,0.45157,1.24865,1.16092,0.87332,0.0008251,0.0008251,0.0008251
55,336.226,1.23526,1.20715,0.85603,0.69379,0.53629,0.498,0.28516,1.39327,1.4631,0.87936,0.0008218,0.0008218,0.0008218
56,341.118,1.20587,1.13971,0.86231,0.68084,0.52335,0.52483,0.33775,1.29472,1.35937,0.87826,0.0008185,0.0008185,0.0008185
57,346.126,1.19851,1.13255,0.86017,0.69903,0.55348,0.73696,0.51193,1.19683,1.13037,0.8805,0.0008152,0.0008152,0.0008152
58,351.484,1.19624,1.18343,0.86222,0.83823,0.54593,0.70075,0.46792,1.20909,1.10246,0.8786,0.0008119,0.0008119,0.0008119
59,356.751,1.21156,1.10085,0.85871,0.81852,0.6207,0.67111,0.41228,1.2174,1.16957,0.88072,0.0008086,0.0008086,0.0008086
60,361.463,1.18276,1.06062,0.84243,0.82879,0.4633,0.6709,0.42696,1.26946,1.2143,0.88023,0.0008053,0.0008053,0.0008053
61,366.521,1.16924,1.09077,0.84939,0.46585,0.70659,0.61244,0.43828,1.16436,1.04305,0.8778,0.000802,0.000802,0.000802
62,371.142,1.20186,1.07576,0.84674,0.69569,0.57476,0.70103,0.48187,1.24958,1.08118,0.89214,0.0007987,0.0007987,0.0007987
63,375.892,1.19938,1.07925,0.84608,0.46048,0.57134,0.6363,0.43612,1.23795,1.22113,0.87604,0.0007954,0.0007954,0.0007954
64,380.497,1.1438,1.04176,0.83527,0.7947,0.56823,0.63579,0.40389,1.23337,1.18478,0.87863,0.0007921,0.0007921,0.0007921
65,385.545,1.23345,1.09021,0.84664,0.84593,0.53685,0.66903,0.41215,1.24572,1.11803,0.88521,0.0007888,0.0007888,0.0007888
66,390.637,1.16264,1.03324,0.84918,0.80567,0.51189,0.66014,0.4275,1.2562,1.10753,0.87476,0.0007855,0.0007855,0.0007855
67,395.549,1.1459,1.01611,0.84846,0.78979,0.53917,0.64114,0.41737,1.26214,1.16501,0.89746,0.0007822,0.0007822,0.0007822
68,400.455,1.2276,1.05004,0.85091,0.55011,0.76525,0.70989,0.43854,1.22444,0.96356,0.87807,0.0007789,0.0007789,0.0007789
69,405.192,1.15049,1.00926,0.83706,0.78877,0.5498,0.65099,0.40521,1.29156,1.12001,0.87912,0.0007756,0.0007756,0.0007756
70,409.936,1.1644,1.02153,0.8483,0.75296,0.51972,0.66362,0.41362,1.25448,1.13014,0.87895,0.0007723,0.0007723,0.0007723
71,414.818,1.13213,1.00946,0.83232,0.55154,0.70504,0.71107,0.4639,1.2055,1.03066,0.87166,0.000769,0.000769,0.000769
72,419.644,1.13304,0.99439,0.8382,0.5181,0.69684,0.68499,0.46075,1.29276,1.09165,0.88163,0.0007657,0.0007657,0.0007657
73,424.505,1.13616,0.99887,0.85339,0.80443,0.50062,0.65994,0.43508,1.21417,1.10092,0.87249,0.0007624,0.0007624,0.0007624
74,429.214,1.13622,0.9307,0.8429,0.54651,0.731,0.74639,0.52085,1.22534,1.03526,0.8808,0.0007591,0.0007591,0.0007591
75,434.422,1.13635,0.96922,0.84056,0.67624,0.68734,0.74096,0.51129,1.17292,1.00391,0.87781,0.0007558,0.0007558,0.0007558
