epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,918.939,0.98739,0.6513,0.83054,0.73336,0.78312,0.81972,0.59336,1.03198,0.76203,0.85893,0.0004192,0.0004192,0.0004192
178,923.426,0.93694,0.64379,0.82407,0.79489,0.75284,0.84318,0.60543,1.04035,0.77181,0.85563,0.0004159,0.0004159,0.0004159
179,928.1,0.95596,0.62635,0.81439,0.81119,0.76761,0.83696,0.60597,1.08504,0.77452,0.86436,0.0004126,0.0004126,0.0004126
180,932.859,0.95581,0.64722,0.8125,0.74504,0.76755,0.82797,0.59247,1.07475,0.79581,0.86717,0.0004093,0.0004093,0.0004093
181,937.165,0.95111,0.64911,0.82488,0.78297,0.75494,0.82491,0.57971,1.05426,0.73233,0.85894,0.000406,0.000406,0.000406
182,941.646,0.93558,0.63602,0.81659,0.73166,0.80891,0.84329,0.57143,1.09713,0.77709,0.86671,0.0004027,0.0004027,0.0004027
183,946.084,0.96703,0.65089,0.81706,0.75421,0.79468,0.82309,0.56771,1.11112,0.79326,0.86544,0.0003994,0.0003994,0.0003994
184,950.44,0.93625,0.63429,0.82348,0.83946,0.79092,0.88677,0.58175,1.07876,0.77166,0.8595,0.0003961,0.0003961,0.0003961
185,955.088,0.91947,0.63041,0.82582,0.84362,0.75931,0.84333,0.58791,1.05834,0.73549,0.85752,0.0003928,0.0003928,0.0003928
186,959.851,0.95488,0.6697,0.8256,0.81814,0.80162,0.87096,0.62361,1.03523,0.68521,0.85139,0.0003895,0.0003895,0.0003895
187,964.973,0.96139,0.64309,0.81954,0.82698,0.69899,0.83653,0.5847,1.04349,0.77921,0.86237,0.0003862,0.0003862,0.0003862
188,969.663,0.92144,0.61114,0.80944,0.74256,0.81467,0.76711,0.50982,1.21006,0.8441,0.86665,0.0003829,0.0003829,0.0003829
189,974.201,0.93833,0.62412,0.82937,0.87919,0.75335,0.89944,0.59252,1.03753,0.73271,0.85572,0.0003796,0.0003796,0.0003796
190,978.845,0.96702,0.6262,0.82119,0.85856,0.73924,0.86312,0.60517,1.06643,0.72058,0.84995,0.0003763,0.0003763,0.0003763
191,983.48,0.89001,0.61764,0.81732,0.85471,0.72795,0.83756,0.57739,1.1159,0.78222,0.86274,0.000373,0.000373,0.000373
192,988.035,0.95901,0.6138,0.81629,0.8087,0.74264,0.81422,0.59752,1.07275,0.80298,0.85845,0.0003697,0.0003697,0.0003697
193,992.628,0.96426,0.63358,0.80984,0.6929,0.76495,0.70133,0.49587,1.13292,0.79576,0.85892,0.0003664,0.0003664,0.0003664
194,997.588,0.91756,0.60412,0.81781,0.70282,0.77807,0.73837,0.52555,1.03915,0.79023,0.86375,0.0003631,0.0003631,0.0003631
195,1002.39,0.90705,0.59215,0.8138,0.84669,0.75474,0.83693,0.58693,1.0581,0.79846,0.86232,0.0003598,0.0003598,0.0003598
196,1006.95,0.97947,0.63225,0.8153,0.82581,0.78258,0.84529,0.58459,1.12898,0.77975,0.86285,0.0003565,0.0003565,0.0003565
197,1011.62,0.94665,0.61876,0.81301,0.76878,0.75508,0.83718,0.57166,1.08705,0.79417,0.85522,0.0003532,0.0003532,0.0003532
198,1017.06,0.94525,0.60112,0.81673,0.82931,0.75513,0.84787,0.5821,1.06771,0.74494,0.84992,0.0003499,0.0003499,0.0003499
199,1022.22,0.95434,0.63145,0.81791,0.73377,0.71477,0.85121,0.59881,1.10876,0.77634,0.8575,0.0003466,0.0003466,0.0003466
200,1026.71,0.92261,0.61497,0.82031,0.71583,0.76283,0.83199,0.56554,1.09278,0.77243,0.85275,0.0003433,0.0003433,0.0003433
201,1031.14,0.90749,0.59133,0.8184,0.86699,0.81195,0.89775,0.61189,1.04599,0.70761,0.8469,0.00034,0.00034,0.00034
202,1035.54,0.96788,0.64188,0.8162,0.8385,0.73385,0.8521,0.61705,1.05233,0.72411,0.84763,0.0003367,0.0003367,0.0003367
203,1039.91,0.95368,0.61423,0.82221,0.83893,0.725,0.83052,0.61531,1.081,0.7692,0.84374,0.0003334,0.0003334,0.0003334
204,1044.45,0.89498,0.59173,0.82136,0.84515,0.73396,0.83633,0.57817,1.04893,0.69874,0.84293,0.0003301,0.0003301,0.0003301
205,1049,0.92095,0.6198,0.80836,0.83348,0.74547,0.83799,0.60796,1.02625,0.69865,0.84891,0.0003268,0.0003268,0.0003268
206,1053.58,0.93677,0.6248,0.8247,0.7926,0.75622,0.84725,0.60701,1.04426,0.72013,0.84765,0.0003235,0.0003235,0.0003235
207,1058.12,0.91653,0.61754,0.81405,0.86738,0.75211,0.85797,0.60764,1.06272,0.71218,0.84772,0.0003202,0.0003202,0.0003202
208,1062.65,0.93515,0.5964,0.82545,0.74914,0.77535,0.8512,0.58668,1.09691,0.79094,0.85856,0.0003169,0.0003169,0.0003169
209,1067.17,0.92057,0.62335,0.82658,0.85178,0.71809,0.82803,0.56967,1.0859,0.74665,0.85595,0.0003136,0.0003136,0.0003136
210,1071.85,0.9135,0.61016,0.82446,0.86051,0.74251,0.84219,0.60251,1.11036,0.75483,0.85064,0.0003103,0.0003103,0.0003103
211,1076.34,0.93247,0.61325,0.81313,0.82898,0.69569,0.82218,0.56473,1.08602,0.80265,0.86023,0.000307,0.000307,0.000307
212,1081.51,0.94105,0.5947,0.81646,0.83731,0.71249,0.82329,0.59038,1.08527,0.74004,0.85069,0.0003037,0.0003037,0.0003037
213,1086.67,0.91416,0.58965,0.81151,0.77832,0.73102,0.83595,0.62225,1.08088,0.71757,0.85262,0.0003004,0.0003004,0.0003004
214,1091.56,0.93668,0.60726,0.80661,0.75874,0.75032,0.84602,0.61488,1.05539,0.73581,0.84893,0.0002971,0.0002971,0.0002971
215,1096.55,0.96719,0.64384,0.82014,0.85743,0.68664,0.83961,0.59842,1.07057,0.78366,0.86288,0.0002938,0.0002938,0.0002938
216,1101.18,0.91891,0.59512,0.80951,0.79482,0.77588,0.8373,0.57856,1.06411,0.79421,0.85361,0.0002905,0.0002905,0.0002905
217,1105.9,0.91893,0.58901,0.81694,0.68321,0.77783,0.82606,0.59523,1.06167,0.7833,0.85051,0.0002872,0.0002872,0.0002872
218,1110.44,0.92054,0.61512,0.82886,0.73689,0.77907,0.73525,0.53896,1.10725,0.73913,0.85089,0.0002839,0.0002839,0.0002839
219,1114.84,0.89998,0.59448,0.81437,0.75702,0.77147,0.8317,0.57398,1.14093,0.72712,0.85219,0.0002806,0.0002806,0.0002806
220,1119.23,0.90057,0.56614,0.81694,0.71522,0.78158,0.74422,0.49936,1.1517,0.7853,0.85531,0.0002773,0.0002773,0.0002773
221,1123.76,0.94699,0.62406,0.80944,0.76088,0.76865,0.74293,0.55053,1.036,0.68977,0.84333,0.000274,0.000274,0.000274
222,1128.62,0.90777,0.58207,0.82302,0.81315,0.79528,0.88791,0.60009,1.03981,0.74594,0.84568,0.0002707,0.0002707,0.0002707
223,1133.47,0.90185,0.60421,0.82286,0.76668,0.76003,0.73103,0.51569,1.09985,0.74988,0.85163,0.0002674,0.0002674,0.0002674
224,1138.08,0.89624,0.57914,0.81368,0.78914,0.75526,0.73177,0.51023,1.09673,0.73302,0.85204,0.0002641,0.0002641,0.0002641
225,1142.78,0.90505,0.58344,0.81887,0.72159,0.79587,0.83032,0.5826,1.05594,0.7541,0.8512,0.0002608,0.0002608,0.0002608
226,1147.32,0.92604,0.58876,0.81041,0.74817,0.7549,0.83383,0.57994,1.03663,0.77951,0.8521,0.0002575,0.0002575,0.0002575
227,1152.03,0.89843,0.5822,0.80637,0.7212,0.78048,0.8495,0.60239,1.05017,0.72713,0.85378,0.0002542,0.0002542,0.0002542
228,1157.01,0.93615,0.5876,0.82131,0.78082,0.74359,0.73891,0.53653,1.0772,0.72951,0.85351,0.0002509,0.0002509,0.0002509
229,1161.39,0.94441,0.61258,0.81496,0.78631,0.73838,0.7517,0.53292,1.07099,0.79499,0.85658,0.0002476,0.0002476,0.0002476
230,1165.88,0.92445,0.58862,0.82915,0.7753,0.73864,0.84117,0.60477,1.06322,0.80454,0.85712,0.0002443,0.0002443,0.0002443
231,1170.7,0.89055,0.57541,0.81171,0.75679,0.74088,0.83188,0.58006,1.08838,0.74903,0.85036,0.000241,0.000241,0.000241
232,1175.3,0.93121,0.60231,0.8271,0.70708,0.81333,0.86068,0.60472,1.07865,0.7492,0.85463,0.0002377,0.0002377,0.0002377
233,1180.07,0.87741,0.57512,0.81981,0.82269,0.71797,0.83785,0.59543,1.09598,0.76226,0.84808,0.0002344,0.0002344,0.0002344
234,1184.87,0.90675,0.59673,0.80765,0.74143,0.73802,0.84601,0.58384,1.0453,0.78473,0.84924,0.0002311,0.0002311,0.0002311
235,1189.42,0.89409,0.58707,0.80726,0.72235,0.79111,0.82126,0.58069,1.05521,0.775,0.85373,0.0002278,0.0002278,0.0002278
236,1193.88,0.94452,0.59114,0.82273,0.73946,0.75866,0.82326,0.599,1.09395,0.77982,0.85156,0.0002245,0.0002245,0.0002245
237,1198.24,0.8747,0.57335,0.81241,0.73367,0.776,0.82941,0.61003,1.09248,0.79436,0.85437,0.0002212,0.0002212,0.0002212
238,1202.6,0.91792,0.57691,0.81314,0.70966,0.76996,0.84325,0.60685,1.06173,0.79295,0.85456,0.0002179,0.0002179,0.0002179
239,1207.29,0.92063,0.56133,0.81936,0.70779,0.78926,0.85086,0.59026,1.06998,0.78268,0.85901,0.0002146,0.0002146,0.0002146
240,1211.86,0.87103,0.56597,0.81898,0.82802,0.69736,0.83238,0.58013,1.10986,0.76992,0.85225,0.0002113,0.0002113,0.0002113
241,1216.33,0.89104,0.53332,0.8139,0.7045,0.78544,0.83256,0.60475,1.09946,0.77072,0.85463,0.000208,0.000208,0.000208
242,1220.73,0.85808,0.57775,0.81336,0.77026,0.75591,0.72379,0.52583,1.06948,0.73712,0.85273,0.0002047,0.0002047,0.0002047
243,1225.26,0.89079,0.59152,0.81228,0.75075,0.75505,0.85586,0.60929,1.0824,0.73531,0.85164,0.0002014,0.0002014,0.0002014
244,1229.81,0.89902,0.57737,0.82133,0.86494,0.71048,0.83294,0.58311,1.09988,0.72838,0.85299,0.0001981,0.0001981,0.0001981
245,1234.88,0.89769,0.55783,0.80893,0.76485,0.75828,0.83552,0.58544,1.04516,0.7505,0.85696,0.0001948,0.0001948,0.0001948
246,1239.59,0.8722,0.5397,0.79907,0.72823,0.79699,0.83498,0.58014,1.02807,0.73942,0.85431,0.0001915,0.0001915,0.0001915
247,1244.59,0.87068,0.55428,0.81249,0.7413,0.78261,0.82515,0.5714,1.06942,0.76653,0.85238,0.0001882,0.0001882,0.0001882
248,1249.47,0.88493,0.57217,0.82209,0.82139,0.74001,0.82625,0.57321,1.07427,0.74672,0.84741,0.0001849,0.0001849,0.0001849
249,1254.08,0.86021,0.56196,0.80576,0.74317,0.75874,0.82583,0.59018,1.04832,0.73911,0.84345,0.0001816,0.0001816,0.0001816
250,1258.71,0.89865,0.56807,0.81587,0.70866,0.77627,0.82024,0.55872,1.06907,0.76891,0.84692,0.0001783,0.0001783,0.0001783
251,1263.71,0.87219,0.56534,0.81412,0.80672,0.729,0.81641,0.5647,1.03162,0.75315,0.8501,0.000175,0.000175,0.000175
