episode_id,tau,rho,eri_rule,eri_nn,eri_act,api_type,alpha,beta,band,acted_by,dt,progress,collision,reward,done
0,0.26857659220695496,0.6301824212271974,0.2821843508500995,,0.2821843508500995,,,,1,teacher,0.0,0.0,0,0.0,False
0,0.26857659220695496,0.6301824212271974,0.2821843508500995,,0.2821843508500995,,,,1,teacher,4.022000000000002,0.0,3,-9.28154,False
0,0.2702791392803192,0.4975124378109453,0.2785020010174678,,0.2785020010174678,,,,4,teacher,3.493000000000002,0.0,0,-10.24451,True
2,0.44020360708236694,0.9419568822553898,0.4601228883508751,,0.4601228883508751,,,,0,teacher,0.0,0.0,0,0.0,False
2,0.44020360708236694,0.9419568822553898,0.4601228883508751,,0.4601228883508751,,,,0,teacher,4.1569999999999965,0.0,0,-0.2909899999999998,False
2,0.19066451489925385,0.5638474295190713,0.20298174527515553,,0.20298174527515553,,,,0,teacher,4.219999999999999,0.0,3,-9.2954,False
2,0.297986775636673,0.2918739635157546,0.2557056730017684,,0.2557056730017684,,,,6,teacher,3.325000000000003,0.0,2,-16.23275,True
3,0.43267399072647095,0.7628524046434494,0.43318715542003755,,0.43318715542003755,,,,0,teacher,0.0,0.0,0,0.0,False
3,0.43267399072647095,0.7628524046434494,0.43318715542003755,,0.43318715542003755,,,,0,teacher,3.933,0.0,2,-6.27531,False
3,0.19436386227607727,0.7694859038142621,0.27932946768816375,,0.27932946768816375,,,,0,teacher,4.085000000000001,0.0,0,-0.2859500000000001,False
3,0.28899815678596497,0.36484245439469326,0.27308468622717424,,0.27308468622717424,,,,1,teacher,2.7390000000000043,0.0,0,-10.19173,True
4,0.4686691462993622,1.0,0.49314926244131924,,0.49314926244131924,,,,7,teacher,0.0,0.0,0,0.0,False
4,0.4686691462993622,1.0,0.49314926244131924,,0.49314926244131924,,,,7,teacher,4.3230000000000075,0.0,0,-0.30261000000000055,False
4,0.20817987620830536,0.9220563847429519,0.31601577969911854,,0.31601577969911854,,,,0,teacher,4.022999999999996,0.5739307628543733,1,-2.7076792371456264,False
4,0.23640352487564087,1.0,0.3661998646484916,,0.3661998646484916,,,,1,teacher,4.4339999999999975,0.0,0,-0.3103799999999999,False
4,0.22753548622131348,0.8424543946932007,0.28430368436050213,,0.28430368436050213,,,,1,teacher,4.239000000000004,0.0,0,-0.2967300000000003,False
4,0.3197689652442932,0.3449419568822554,0.2869470473975816,,0.2869470473975816,,,,2,teacher,2.1049999999999898,0.0,0,-10.14735,True
5,0.5130369067192078,0.7230514096185738,0.4654473990527914,,0.4654473990527914,,,,3,teacher,0.0,0.0,0,0.0,False
5,0.5130369067192078,0.7230514096185738,0.4654473990527914,,0.4654473990527914,,,,3,teacher,4.213999999999999,0.0,1,-3.29498,False
5,0.19030840694904327,0.6102819237147595,0.21751137377465918,,0.21751137377465918,,,,4,teacher,4.286999999999992,0.0,1,-3.3000899999999995,False
5,0.36304762959480286,0.7429519071310117,0.40318860483141594,,0.40318860483141594,,,,3,teacher,0.4819999999999993,0.0,0,-10.03374,True
6,0.20919734239578247,1.0,0.34482647057843235,,0.34482647057843235,,,,3,teacher,0.0,0.0,0,0.0,False
